2026-09-07 16:39:02,936 | WARNING  | collectors.ase_collector | ASE config incomplete, missing: port, username, password
2026-09-07 16:46:41,544 | INFO     | collectors.rfc_perf | [PRD] response time: SWNC_GET_STATRECS_FRAME not callable
2026-09-07 16:46:41,545 | INFO     | collectors.rfc_perf | [PRD] SQLMD: no field info returned -- table absent or not readable
2026-09-07 16:46:41,642 | INFO     | collectors.rfc_perf | [PRD] response time: SWNC_GET_STATRECS_FRAME not callable
2026-09-07 16:46:41,643 | INFO     | collectors.rfc_perf | [PRD] SQLMD: no field info returned -- table absent or not readable
2026-09-07 16:46:41,757 | INFO     | collectors.rfc_perf | [PRD] SQLMD: no field info returned -- table absent or not readable
2026-09-07 16:46:41,913 | INFO     | collectors.rfc_perf | [PRD] SQLMD: no field info returned -- table absent or not readable
2026-09-07 16:46:41,917 | INFO     | collectors.rfc_perf | [PRD] response time: SWNC_GET_STATRECS_FRAME not callable
2026-09-07 16:46:41,999 | INFO     | collectors.rfc_perf | [PRD] SQLMD: no field info returned -- table absent or not readable
2026-09-07 16:46:42,003 | INFO     | collectors.rfc_perf | [PRD] response time: SWNC_GET_STATRECS_FRAME not callable
2026-09-07 16:46:42,061 | INFO     | collectors.rfc_perf | [PRD] response time: SWNC_GET_STATRECS_FRAME not callable
2026-09-07 16:46:42,061 | WARNING  | collectors.rfc_perf | [PRD] SQLMD present but essential columns not matched. Have: ['SOMETHING', 'ELSE']. Looked for program in ['PROGRAM_NAME', 'PROGRAM', 'PROGNAME', 'ENTRY_PROGRAM', 'REQUEST_PROGRAM'] and time in ['TOTAL_TIME', 'TOTAL_DB_TIME', 'SUM_TIME', 'TOTAL_TIME_US'].
2026-09-07 16:46:42,066 | INFO     | collectors.rfc_perf | [PRD] response time: SWNC_GET_STATRECS_FRAME not callable
2026-09-07 16:46:42,067 | INFO     | collectors.rfc_perf | [PRD] SQLMD: no field info returned -- table absent or not readable
2026-09-07 16:46:42,071 | INFO     | collectors.rfc_perf | [PRD] response time: SWNC_GET_STATRECS_FRAME not callable
2026-09-07 16:46:42,076 | INFO     | collectors.rfc_perf | [PRD] response time: SWNC_GET_STATRECS_FRAME not callable
2026-09-07 16:47:21,886 | INFO     | collectors.rfc_perf | [CENTOR_QAS] response time: connected instance only (per-instance addressing not accepted)
2026-09-07 16:47:23,491 | WARNING  | collectors.rfc_perf | [CENTOR_QAS] SQLMD present but essential columns not matched. Have: ['PROGNAME', 'PROGKIND', 'PROCTYPE', 'PROCNAME', 'PROCLINE', 'RUNLEVEL', 'ROOTTYPE', 'ROOTNAME', 'STMTKIND', 'TABLENAME', 'XCNT', 'RCNT', 'XCNTRCNT', 'RTMIN', 'RTMAX', 'RTCNT', 'RTSUM', 'RTSQS', 'RTAVG', 'RTDEV', 'DBMIN', 'DBMAX', 'DBCNT', 'DBSUM', 'DBSQS', 'DBAVG', 'DBDEV', 'DDATE', 'DTIME', 'RTMCNT']. Looked for program in ['PROGRAM_NAME', 'PROGRAM', 'PROGNAME', 'ENTRY_PROGRAM', 'REQUEST_PROGRAM'] and time in ['TOTAL_TIME', 'TOTAL_DB_TIME', 'SUM_TIME', 'TOTAL_TIME_US'].
2026-09-07 16:47:23,512 | INFO     | collectors.rfc_perf | [CENTOR_QAS] RFC perf collector: 6 metrics
2026-09-07 16:49:38,242 | INFO     | collectors.rfc_perf | [PRD] STAT read returned 0 records in the last 5 minutes
2026-09-07 16:49:38,242 | INFO     | collectors.rfc_perf | [PRD] response time: SWNC_GET_STATRECS_FRAME not callable
2026-09-07 16:49:38,242 | INFO     | collectors.rfc_perf | [PRD] SQLMD: no field info returned -- table absent or not readable
2026-09-07 16:49:38,322 | INFO     | collectors.rfc_perf | [PRD] STAT read returned 0 records in the last 5 minutes
2026-09-07 16:49:38,322 | INFO     | collectors.rfc_perf | [PRD] response time: SWNC_GET_STATRECS_FRAME not callable
2026-09-07 16:49:38,323 | INFO     | collectors.rfc_perf | [PRD] SQLMD: no field info returned -- table absent or not readable
2026-09-07 16:49:38,404 | INFO     | collectors.rfc_perf | [PRD] SQLMD: no field info returned -- table absent or not readable
2026-09-07 16:49:38,486 | INFO     | collectors.rfc_perf | [PRD] SQLMD: no field info returned -- table absent or not readable
2026-09-07 16:49:38,489 | INFO     | collectors.rfc_perf | [PRD] STAT read returned 0 records in the last 5 minutes
2026-09-07 16:49:38,489 | INFO     | collectors.rfc_perf | [PRD] response time: SWNC_GET_STATRECS_FRAME not callable
2026-09-07 16:49:38,576 | INFO     | collectors.rfc_perf | [PRD] SQLMD: no field info returned -- table absent or not readable
2026-09-07 16:49:38,579 | INFO     | collectors.rfc_perf | [PRD] STAT read returned 0 records in the last 5 minutes
2026-09-07 16:49:38,580 | INFO     | collectors.rfc_perf | [PRD] response time: SWNC_GET_STATRECS_FRAME not callable
2026-09-07 16:49:38,634 | INFO     | collectors.rfc_perf | [PRD] STAT read returned 0 records in the last 5 minutes
2026-09-07 16:49:38,634 | INFO     | collectors.rfc_perf | [PRD] response time: SWNC_GET_STATRECS_FRAME not callable
2026-09-07 16:49:38,640 | INFO     | collectors.rfc_perf | [PRD] STAT read returned 0 records in the last 5 minutes
2026-09-07 16:49:38,640 | INFO     | collectors.rfc_perf | [PRD] response time: SWNC_GET_STATRECS_FRAME not callable
2026-09-07 16:49:38,699 | INFO     | collectors.rfc_perf | [PRD] STAT read returned 0 records in the last 5 minutes
2026-09-07 16:49:38,700 | INFO     | collectors.rfc_perf | [PRD] response time: SWNC_GET_STATRECS_FRAME not callable
2026-09-07 16:49:38,700 | WARNING  | collectors.rfc_perf | [PRD] SQLMD present but essential columns not matched. Have: ['SOMETHING', 'ELSE']. Looked for program in ['PROGNAME', 'PROGRAM_NAME', 'PROGRAM', 'ENTRY_PROGRAM'] and time in ['DBSUM', 'TOTAL_DB_TIME', 'TOTAL_TIME', 'SUM_TIME'].
2026-09-07 16:49:38,704 | INFO     | collectors.rfc_perf | [PRD] STAT read returned 0 records in the last 5 minutes
2026-09-07 16:49:38,705 | INFO     | collectors.rfc_perf | [PRD] response time: SWNC_GET_STATRECS_FRAME not callable
2026-09-07 16:49:38,705 | INFO     | collectors.rfc_perf | [PRD] SQLMD: no field info returned -- table absent or not readable
2026-09-07 16:49:38,710 | INFO     | collectors.rfc_perf | [PRD] STAT read returned 0 records in the last 5 minutes
2026-09-07 16:49:38,710 | INFO     | collectors.rfc_perf | [PRD] response time: SWNC_GET_STATRECS_FRAME not callable
2026-09-07 16:49:38,714 | INFO     | collectors.rfc_perf | [PRD] STAT read returned 0 records in the last 5 minutes
2026-09-07 16:49:38,714 | INFO     | collectors.rfc_perf | [PRD] response time: SWNC_GET_STATRECS_FRAME not callable
2026-09-07 16:49:44,141 | INFO     | collectors.rfc_perf | [CENTOR_QAS] STAT read returned 0 records in the last 5 minutes
2026-09-07 16:49:44,141 | INFO     | collectors.rfc_perf | [CENTOR_QAS] response time: connected instance only (per-instance addressing not accepted)
2026-09-07 16:49:45,526 | INFO     | collectors.rfc_perf | [CENTOR_QAS] RFC perf collector: 6 metrics
2026-09-07 16:53:32,517 | INFO     | collectors.rfc_perf | [PRD] STAT read returned 0 records in the last 5 minutes
2026-09-07 16:53:32,518 | INFO     | collectors.rfc_perf | [PRD] response time: SWNC_GET_STATRECS_FRAME not callable
2026-09-07 16:53:32,518 | INFO     | collectors.rfc_perf | [PRD] SQLMD: no field info returned -- table absent or not readable
2026-09-07 16:53:32,593 | INFO     | collectors.rfc_perf | [PRD] STAT read returned 0 records in the last 5 minutes
2026-09-07 16:53:32,594 | INFO     | collectors.rfc_perf | [PRD] response time: SWNC_GET_STATRECS_FRAME not callable
2026-09-07 16:53:32,594 | INFO     | collectors.rfc_perf | [PRD] SQLMD: no field info returned -- table absent or not readable
2026-09-07 16:53:32,684 | INFO     | collectors.rfc_perf | [PRD] SQLMD: no field info returned -- table absent or not readable
2026-09-07 16:53:32,780 | INFO     | collectors.rfc_perf | [PRD] SQLMD: no field info returned -- table absent or not readable
2026-09-07 16:53:32,784 | INFO     | collectors.rfc_perf | [PRD] STAT read returned 0 records in the last 5 minutes
2026-09-07 16:53:32,784 | INFO     | collectors.rfc_perf | [PRD] response time: SWNC_GET_STATRECS_FRAME not callable
2026-09-07 16:53:32,879 | INFO     | collectors.rfc_perf | [PRD] SQLMD: no field info returned -- table absent or not readable
2026-09-07 16:53:32,882 | INFO     | collectors.rfc_perf | [PRD] STAT read returned 0 records in the last 5 minutes
2026-09-07 16:53:32,883 | INFO     | collectors.rfc_perf | [PRD] response time: SWNC_GET_STATRECS_FRAME not callable
2026-09-07 16:53:32,951 | INFO     | collectors.rfc_perf | [PRD] STAT read returned 0 records in the last 5 minutes
2026-09-07 16:53:32,951 | INFO     | collectors.rfc_perf | [PRD] response time: SWNC_GET_STATRECS_FRAME not callable
2026-09-07 16:53:32,952 | INFO     | collectors.rfc_perf | [PRD] SQLMD readable but 0 rows matched DDATE >= '20260831' -- is SQL Monitor (transaction SQLM) activated on this system?
2026-09-07 16:53:32,957 | INFO     | collectors.rfc_perf | [PRD] STAT read returned 0 records in the last 5 minutes
2026-09-07 16:53:32,957 | INFO     | collectors.rfc_perf | [PRD] response time: SWNC_GET_STATRECS_FRAME not callable
2026-09-07 16:53:33,029 | INFO     | collectors.rfc_perf | [PRD] STAT read returned 0 records in the last 5 minutes
2026-09-07 16:53:33,029 | INFO     | collectors.rfc_perf | [PRD] response time: SWNC_GET_STATRECS_FRAME not callable
