2026-09-07 17:39:48,159 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-07 17:39:48,212 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-07 17:39:48,244 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-07 17:39:48,285 | INFO     | dashboard.app | Scheduler: profile 'prd-quick' is due (PRD, 4 T-code(s), -> ['whatsapp']).
2026-09-07 17:54:23,951 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-07 17:54:23,990 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-07 17:54:24,010 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-08 09:41:21,319 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-08 09:41:21,480 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-08 09:41:21,538 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-08 09:41:21,613 | INFO     | dashboard.app | Scheduler: profile 'prd-quick' is due (PRD, 4 T-code(s), -> ['whatsapp']).
2026-09-08 09:41:56,349 | INFO     | dashboard.app | Stop requested from the dashboard. Finishing PRD then stopping. Automatic monitoring paused.
2026-09-08 09:47:58,542 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-08 09:47:58,590 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-08 09:47:58,608 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-08 10:08:52,743 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-08 10:08:52,832 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-08 10:08:52,928 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-08 10:30:57,357 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-08 10:30:57,391 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-08 10:30:57,409 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-08 10:43:22,510 | INFO     | dashboard.app | Stop requested from the dashboard. Finishing SARLOHA QAS then stopping. Automatic monitoring paused.
2026-09-08 10:54:49,585 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-08 10:54:49,663 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-08 10:54:49,696 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-08 11:29:45,253 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-08 11:29:45,293 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-08 11:29:45,316 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-08 11:35:17,744 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-08 11:35:17,789 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-08 11:35:17,812 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-08 11:41:23,566 | INFO     | dashboard.app | Scheduler: profile 'prd-quick' is due (PRD, 4 T-code(s), -> ['whatsapp']).
2026-09-08 11:44:17,589 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-08 11:44:17,630 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-08 11:44:17,662 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-08 11:45:41,193 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-08 11:45:41,404 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-08 11:45:41,511 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-08 11:52:12,641 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-08 11:52:12,720 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-08 11:52:12,791 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-08 12:00:15,406 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-08 12:00:15,455 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-08 12:00:15,482 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-08 12:01:31,615 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-08 12:01:31,663 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-08 12:01:31,677 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-08 12:09:48,664 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-08 12:09:48,719 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-08 12:09:48,755 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-08 12:18:17,561 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-08 12:18:17,602 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-08 12:18:17,620 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-08 12:23:54,769 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-08 12:23:54,877 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-08 12:23:54,895 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-08 12:29:57,576 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-08 12:29:57,626 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-08 12:29:57,647 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-08 12:52:59,285 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-08 12:52:59,356 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-08 12:52:59,429 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-08 14:03:22,320 | INFO     | dashboard.app | Scheduler: profile 'prd-quick' is due (PRD, 4 T-code(s), -> ['whatsapp']).
2026-09-08 14:04:05,605 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-08 14:04:05,720 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-08 14:04:05,786 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-08 15:19:26,648 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-08 15:19:26,846 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-08 15:19:26,969 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-08 15:38:22,275 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-08 15:38:22,352 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-08 15:38:22,400 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-08 15:48:16,418 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-08 15:48:16,452 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 8s; HTTP requests never call RFC directly.
2026-09-08 15:48:16,513 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-08 15:48:16,565 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-08 16:03:27,830 | INFO     | dashboard.app | Scheduler: profile 'prd-quick' is due (PRD, 4 T-code(s), -> ['whatsapp']).
2026-09-08 16:07:47,558 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-08 16:07:47,622 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 8s; HTTP requests never call RFC directly.
2026-09-08 16:07:47,710 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-08 16:07:47,792 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-08 16:28:34,975 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-08 16:28:35,007 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 8s; HTTP requests never call RFC directly.
2026-09-08 16:28:35,140 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-08 16:28:35,182 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-08 16:56:49,538 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
