2026-09-07 17:40:52,062 | INFO     | notifications.email_alert | Critical alert email sent to ['omdighe975@gmail.com']
2026-09-07 17:41:22,051 | INFO     | notifications.email_report | Final report email sent to ['omdighe975@gmail.com']
2026-09-08 09:42:47,150 | INFO     | notifications.email_alert | Critical alert email sent to ['omdighe975@gmail.com']
2026-09-08 09:43:16,803 | INFO     | notifications.email_report | Final report email sent to ['omdighe975@gmail.com']
2026-09-08 10:43:02,895 | INFO     | notifications.email_alert | Critical alert email sent to ['omdighe975@gmail.com']
2026-09-08 10:43:30,775 | INFO     | notifications.email_report | Final report email sent to ['omdighe975@gmail.com']
2026-09-08 11:24:40,634 | INFO     | notifications.email_alert | Critical alert email sent to ['omdighe975@gmail.com']
2026-09-08 16:49:54,732 | INFO     | notifications.email_report | Final report email sent to ['omdighe975@gmail.com']
2026-09-08 22:18:36,667 | INFO     | notifications.email_report | Failure alert email sent for PRD.
2026-09-08 22:21:57,664 | INFO     | notifications.email_report | Final report email sent to ['omdighe975@gmail.com']
2026-09-08 22:22:19,682 | INFO     | notifications.email_report | Final report email sent to ['omdighe975@gmail.com']
2026-09-09 10:05:01,558 | INFO     | notifications.email_report | Failure alert email sent for PRD.
2026-09-09 10:05:43,270 | INFO     | notifications.email_alert | Critical alert email sent to ['omdighe975@gmail.com']
2026-09-09 10:07:17,818 | INFO     | notifications.email_report | Final report email sent to ['omdighe975@gmail.com']
2026-09-09 10:11:07,385 | WARNING  | notifications.email_report | Failure alert email attempt 1/2 failed to send: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)
2026-09-09 10:11:14,221 | INFO     | notifications.email_report | Failure alert email sent for PRD.
2026-09-09 10:14:35,735 | INFO     | notifications.email_alert | Critical alert email sent to ['omdighe975@gmail.com']
2026-09-09 10:16:05,575 | WARNING  | notifications.email_report | Email send attempt 1/2 failed: Server not connected
2026-09-09 10:17:18,527 | INFO     | notifications.email_report | Final report email sent to ['omdighe975@gmail.com']
2026-09-09 12:00:33,188 | INFO     | notifications.email_alert | Critical alert email sent to ['omdighe975@gmail.com']
2026-09-09 12:01:03,859 | INFO     | notifications.email_report | Final report email sent to ['omdighe975@gmail.com']
2026-09-09 16:21:39,249 | INFO     | notifications.email_report | Final report email sent to ['omdighe975@gmail.com']
2026-09-09 16:23:55,127 | INFO     | notifications.email_report | Final report email sent to ['omdighe975@gmail.com']
2026-09-09 17:23:40,629 | INFO     | notifications.email_report | Failure alert email sent for PRD.
2026-09-09 18:02:34,017 | INFO     | notifications.email_report | Failure alert email sent for PRD.
2026-09-10 12:29:41,758 | INFO     | notifications.email_report | Failure alert email sent for PRD.
2026-09-10 12:35:15,997 | INFO     | notifications.email_report | Failure alert email sent for PRD.
2026-09-10 12:39:10,371 | INFO     | notifications.email_alert | Critical alert email sent to ['omdighe975@gmail.com']
2026-09-10 12:39:57,455 | INFO     | notifications.email_report | Final report email sent to ['omdighe975@gmail.com']
2026-09-10 12:47:21,263 | INFO     | notifications.email_alert | Critical alert email sent to ['omdighe975@gmail.com']
2026-09-10 12:47:54,712 | INFO     | notifications.email_report | Final report email sent to ['omdighe975@gmail.com']
2026-09-10 13:02:46,086 | INFO     | notifications.email_report | Final report email sent to ['omdighe975@gmail.com']
2026-09-10 14:27:28,875 | INFO     | notifications.email_alert | Critical alert email sent to ['omdighe975@gmail.com']
2026-09-10 14:27:57,689 | INFO     | notifications.email_report | Final report email sent to ['omdighe975@gmail.com']
2026-09-10 14:33:08,600 | INFO     | notifications.email_report | Failure alert email sent for PRD.
2026-09-10 14:37:08,723 | INFO     | notifications.email_alert | Critical alert email sent to ['omdighe975@gmail.com']
2026-09-10 14:37:37,838 | INFO     | notifications.email_report | Final report email sent to ['omdighe975@gmail.com']
2026-09-10 14:38:21,128 | INFO     | notifications.email_report | Failure alert email sent for PRD.
2026-09-10 14:42:17,149 | INFO     | notifications.email_alert | Critical alert email sent to ['omdighe975@gmail.com']
2026-09-10 14:42:47,225 | INFO     | notifications.email_report | Final report email sent to ['omdighe975@gmail.com']
2026-09-10 14:49:39,546 | INFO     | notifications.email_report | Failure alert email sent for CARFOUR QAS.
2026-09-10 14:49:40,476 | INFO     | notifications.email_alert | Critical alert email sent to ['omdighe975@gmail.com']
2026-09-10 14:50:13,323 | INFO     | notifications.email_report | Final report email sent to ['omdighe975@gmail.com']
2026-09-10 15:53:46,718 | INFO     | notifications.email_report | Final report email sent to ['girish.jadhav@infrabeat.com']
